Customer_ID,Customer_Name,Order_Date,Amount,Product_Service,Channel
C00020,휱ト0020,2025-01-04,"40,609",Basic Plan,Referral
C00110,휱ト0110,2025-12-07,"34,492",Add-on: Support,Marketplace
C00072,휱ト0072,2025-08-22,"9,722",Pro Plan,Partner
C00094,휱ト0094,2025-09-20,"44,542",Implementation,Direct
C00008,휱ト0008,2025-08-13,"19,753",Enterprise Plan,Partner
C00055,휱ト0055,2025-06-28,"39,402",Consulting,Direct
C00022,휱ト0022,2025-11-09,"42,991",Enterprise Plan,Referral
C00066,휱ト0066,2025-08-08,"17,782",Pro Plan,Marketplace
C00083,휱ト0083,2025-09-28,"18,626",Pro Plan,Marketplace
C00001,휱ト0001,2025-10-23,"29,332",Add-on: Support,Event
C00054,휱ト0054,2025-02-27,"15,580",Add-on: Analytics,Event
C00021,휱ト0021,2025-03-25,"22,195",Enterprise Plan,Direct
C00159,휱ト0159,2025-01-28,"45,872",Basic Plan,Event
C00014,휱ト0014,2025-01-13,"21,561",Training,Online
C00138,휱ト0138,2025-11-29,"40,826",Basic Plan,Online
C00047,휱ト0047,2025-10-30,"25,985",Basic Plan,Partner
C00047,휱ト0047,2025-04-11,"5,984",Consulting,Event
C00094,휱ト0094,2025-09-23,"8,315",Basic Plan,Referral
C00085,휱ト0085,2025-05-26,"14,062",Maintenance,Partner
C00028,휱ト0028,2025-03-27,"11,795",Add-on: Support,Marketplace
C00135,휱ト0135,2025-04-05,"25,615",Training,Direct
C00199,휱ト0199,2025-01-06,"14,564",Training,Direct
C00044,휱ト0044,2025-11-19,"11,930",Implementation,Event
C00076,휱ト0076,2025-10-09,"1,907",Consulting,Direct
C00066,휱ト0066,2025-04-10,"31,213",Add-on: Support,Referral
C00073,휱ト0073,2025-10-21,"44,957",Pro Plan,Referral
C00113,휱ト0113,2025-02-13,"49,886",Basic Plan,Event
C00079,휱ト0079,2025-07-14,"5,515",Basic Plan,Partner
C00115,휱ト0115,2025-02-16,"42,792",Add-on: Support,Direct
C00053,휱ト0053,2025-01-10,"15,679",Enterprise Plan,Referral
C00184,휱ト0184,2025-06-23,"45,772",Training,Partner
C00143,휱ト0143,2025-01-21,"30,606",Add-on: Support,Partner
C00010,휱ト0010,2025-05-12,"28,913",Training,Direct
C00056,휱ト0056,2025-11-29,"24,910",Add-on: Analytics,Partner
C00160,휱ト0160,2025-05-17,"16,352",Implementation,Online
C00051,휱ト0051,2025-10-09,"40,773",Basic Plan,Referral
C00011,휱ト0011,2025-11-18,"7,649",Basic Plan,Referral
C00084,휱ト0084,2025-07-11,"42,951",Training,Partner
C00096,휱ト0096,2025-09-21,"17,858",Basic Plan,Partner
C00172,휱ト0172,2025-07-20,"27,861",Training,Event
C00052,휱ト0052,2025-03-17,"10,015",Enterprise Plan,Marketplace
C00054,휱ト0054,2025-07-20,"36,499",Add-on: Support,Direct
C00084,휱ト0084,2025-10-24,"18,629",Maintenance,Event
C00143,휱ト0143,2025-03-15,"1,983",Training,Event
C00050,휱ト0050,2025-03-26,"20,993",Basic Plan,Marketplace
C00053,휱ト0053,2025-10-16,"15,757",Add-on: Analytics,Partner
C00133,휱ト0133,2025-07-05,"30,661",Implementation,Online
C00051,휱ト0051,2025-06-29,"22,747",Add-on: Support,Partner
C00083,휱ト0083,2025-01-19,"34,032",Implementation,Event
C00157,휱ト0157,2025-07-24,"17,549",Basic Plan,Marketplace
C00094,휱ト0094,2025-07-20,"5,339",Basic Plan,Marketplace
C00077,휱ト0077,2025-10-10,"42,896",Basic Plan,Partner
C00059,휱ト0059,2025-02-08,"17,326",Basic Plan,Event
C00053,휱ト0053,2025-10-22,"3,708",Enterprise Plan,Event
C00102,휱ト0102,2025-08-07,"33,110",Pro Plan,Partner
C00088,휱ト0088,2025-11-29,"10,267",Basic Plan,Partner
C00019,휱ト0019,2025-01-10,"45,122",Add-on: Support,Event
C00071,휱ト0071,2025-12-21,"23,147",Consulting,Event
C00133,휱ト0133,2025-04-10,"27,547",Basic Plan,Referral
C00149,휱ト0149,2025-06-11,"7,733",Implementation,Marketplace
C00105,휱ト0105,2025-06-05,"18,537",Pro Plan,Marketplace
C00191,휱ト0191,2025-12-14,"39,941",Add-on: Support,Referral
C00103,휱ト0103,2025-03-13,"42,064",Training,Event
C00169,휱ト0169,2025-10-11,"16,398",Add-on: Support,Direct
C00108,휱ト0108,2025-08-06,"35,261",Training,Event
C00164,휱ト0164,2025-03-29,"14,925",Basic Plan,Online
C00128,휱ト0128,2025-01-20,"36,529",Basic Plan,Referral
C00076,휱ト0076,2025-04-10,"13,887",Add-on: Support,Direct
C00152,휱ト0152,2025-04-17,"41,794",Consulting,Partner
C00084,휱ト0084,2025-09-30,"31,191",Training,Online
C00062,휱ト0062,2025-04-25,"28,585",Pro Plan,Direct
C00068,휱ト0068,2025-05-11,"46,481",Add-on: Analytics,Online
C00104,휱ト0104,2025-08-24,"33,052",Consulting,Direct
C00022,휱ト0022,2025-02-27,"9,149",Implementation,Marketplace
C00126,휱ト0126,2025-11-15,"8,206",Basic Plan,Referral
C00076,휱ト0076,2025-02-27,"49,470",Enterprise Plan,Direct
C00185,휱ト0185,2025-02-24,"1,882",Maintenance,Marketplace
C00084,휱ト0084,2025-01-04,"49,788",Basic Plan,Partner
C00081,휱ト0081,2025-09-30,"37,264",Pro Plan,Referral
C00031,휱ト0031,2025-12-14,"28,420",Maintenance,Direct
C00004,휱ト0004,2025-03-24,"15,246",Training,Marketplace
C00018,휱ト0018,2025-01-16,"26,163",Pro Plan,Referral
C00036,휱ト0036,2025-05-22,"35,938",Add-on: Analytics,Direct
C00152,휱ト0152,2025-08-16,"21,059",Enterprise Plan,Marketplace
C00096,휱ト0096,2025-09-10,"32,224",Maintenance,Referral
C00175,휱ト0175,2025-10-07,"29,303",Basic Plan,Referral
C00177,휱ト0177,2025-03-04,"6,816",Training,Direct
C00002,휱ト0002,2025-07-27,"30,565",Enterprise Plan,Marketplace
C00008,휱ト0008,2025-01-11,"19,405",Consulting,Marketplace
C00148,휱ト0148,2025-12-23,"17,023",Consulting,Referral
C00149,휱ト0149,2025-11-21,"47,516",Add-on: Analytics,Online
C00058,휱ト0058,2025-06-04,"25,040",Add-on: Support,Referral
C00111,휱ト0111,2025-11-09,"18,593",Pro Plan,Partner
C00064,휱ト0064,2025-10-17,"20,791",Training,Direct
C00013,휱ト0013,2025-06-12,"14,426",Implementation,Online
C00072,휱ト0072,2025-09-08,"37,637",Add-on: Support,Referral
C00081,휱ト0081,2025-01-07,"35,979",Pro Plan,Direct
C00151,휱ト0151,2025-09-27,"38,451",Enterprise Plan,Online
C00006,휱ト0006,2025-10-07,"27,760",Basic Plan,Referral
C00108,휱ト0108,2025-04-19,"46,884",Implementation,Referral
C00146,휱ト0146,2025-07-11,486,Add-on: Support,Direct
C00069,휱ト0069,2025-05-15,"12,959",Basic Plan,Marketplace
C00197,휱ト0197,2025-11-26,"37,533",Maintenance,Marketplace
C00097,휱ト0097,2025-02-12,"29,912",Enterprise Plan,Marketplace
C00158,휱ト0158,2025-06-22,"13,495",Training,Event
C00040,휱ト0040,2025-09-11,"5,614",Pro Plan,Marketplace
C00039,휱ト0039,2025-06-05,"21,560",Add-on: Analytics,Direct
C00088,휱ト0088,2025-10-21,"18,554",Consulting,Event
C00052,휱ト0052,2025-08-22,"45,690",Consulting,Event
C00080,휱ト0080,2025-05-10,"43,035",Pro Plan,Partner
C00085,휱ト0085,2025-08-19,"6,054",Maintenance,Partner
C00035,휱ト0035,2025-03-24,"20,093",Enterprise Plan,Online
C00109,휱ト0109,2025-05-30,"22,944",Maintenance,Direct
C00127,휱ト0127,2025-09-18,"48,575",Consulting,Referral
C00197,휱ト0197,2025-09-17,"9,094",Add-on: Analytics,Direct
C00022,휱ト0022,2025-05-03,"24,497",Consulting,Partner
C00065,휱ト0065,2025-02-20,"31,306",Maintenance,Marketplace
C00176,휱ト0176,2025-12-06,"1,733",Training,Online
C00111,휱ト0111,2025-09-29,"33,397",Implementation,Referral
C00121,휱ト0121,2025-11-26,"30,925",Add-on: Analytics,Marketplace
C00076,휱ト0076,2025-06-23,"49,585",Pro Plan,Direct
C00039,휱ト0039,2025-02-04,"27,328",Enterprise Plan,Event
C00135,휱ト0135,2025-09-03,"20,944",Basic Plan,Partner
C00042,휱ト0042,2025-06-28,"39,283",Maintenance,Marketplace
C00113,휱ト0113,2025-05-21,"35,847",Pro Plan,Partner
C00018,휱ト0018,2025-10-22,"27,455",Implementation,Online
C00143,휱ト0143,2025-08-19,"7,411",Pro Plan,Partner
C00116,휱ト0116,2025-05-14,"12,658",Add-on: Analytics,Direct
C00155,휱ト0155,2025-08-20,"5,262",Add-on: Analytics,Online
C00046,휱ト0046,2025-10-15,"40,947",Add-on: Analytics,Online
C00166,휱ト0166,2025-06-24,"37,382",Pro Plan,Partner
C00139,휱ト0139,2025-02-25,"45,481",Enterprise Plan,Partner
C00138,휱ト0138,2025-12-19,"38,465",Implementation,Online
C00008,휱ト0008,2025-02-16,"37,823",Maintenance,Partner
C00063,휱ト0063,2025-05-18,"8,945",Basic Plan,Online
C00157,휱ト0157,2025-08-22,"6,184",Add-on: Analytics,Marketplace
C00023,휱ト0023,2025-10-06,"4,676",Basic Plan,Partner
C00188,휱ト0188,2025-11-13,"4,306",Implementation,Online
C00127,휱ト0127,2025-12-06,"2,405",Implementation,Direct
C00143,휱ト0143,2025-01-24,415,Add-on: Analytics,Direct
C00050,휱ト0050,2025-07-10,"48,976",Training,Partner
C00192,휱ト0192,2025-04-12,"42,590",Consulting,Direct
C00091,휱ト0091,2025-09-02,"15,476",Add-on: Support,Event
C00009,휱ト0009,2025-05-30,"23,544",Add-on: Analytics,Event
C00145,휱ト0145,2025-02-01,"40,833",Consulting,Marketplace
C00076,휱ト0076,2025-01-24,"8,231",Basic Plan,Direct
C00075,휱ト0075,2025-08-04,"23,523",Basic Plan,Referral
C00021,휱ト0021,2025-12-13,"39,756",Consulting,Marketplace
C00063,휱ト0063,2025-08-23,"48,332",Basic Plan,Online
C00067,휱ト0067,2025-04-05,"35,481",Enterprise Plan,Referral
C00113,휱ト0113,2025-06-30,"43,678",Implementation,Direct
C00038,휱ト0038,2025-07-21,"5,270",Consulting,Partner
C00075,휱ト0075,2025-05-31,"38,788",Implementation,Online
C00172,휱ト0172,2025-02-04,"34,959",Add-on: Analytics,Direct
C00115,휱ト0115,2025-11-05,"1,236",Maintenance,Partner
C00038,휱ト0038,2025-12-30,"30,078",Training,Direct
C00132,휱ト0132,2025-04-09,"29,992",Pro Plan,Referral
C00076,휱ト0076,2025-03-21,"35,124",Pro Plan,Partner
C00082,휱ト0082,2025-07-25,"2,159",Pro Plan,Direct
C00162,휱ト0162,2025-11-07,"39,041",Add-on: Analytics,Event
C00178,휱ト0178,2025-07-14,"8,010",Add-on: Support,Referral
C00108,휱ト0108,2025-11-22,"37,771",Basic Plan,Direct
C00200,휱ト0200,2025-01-28,"8,730",Basic Plan,Marketplace
C00147,휱ト0147,2025-05-01,"28,980",Pro Plan,Direct
C00083,휱ト0083,2025-09-08,"16,443",Add-on: Support,Referral
C00195,휱ト0195,2025-02-06,"31,283",Add-on: Support,Online
C00183,휱ト0183,2025-05-08,"46,236",Basic Plan,Partner
C00059,휱ト0059,2025-03-27,"28,932",Consulting,Online
C00113,휱ト0113,2025-06-30,"31,530",Maintenance,Online
C00068,휱ト0068,2025-01-18,"49,463",Pro Plan,Event
C00155,휱ト0155,2025-12-27,"32,566",Add-on: Support,Referral
C00085,휱ト0085,2025-08-08,"1,327",Implementation,Online
